open,write,read,close
119.918,5.299,0.78,11.54
118.137,5.45,0.76,11.969
115.548,5.24,0.76,11.589
115.288,5.389,0.76,11.57
128.877,7.189,1.06,15.87
125.637,5.64,0.81,12.42
117.087,5.22,0.8,11.66
115.177,5.31,0.79,11.67
134.316,5.38,0.79,11.76
119.247,5.32,0.78,11.61
116.737,5.33,0.79,11.71
115.248,5.46,0.77,11.639
117.898,5.479,0.77,11.87
117.207,5.61,0.74,11.61
118.047,5.24,0.77,11.46
126.097,5.32,0.78,11.709
114.338,5.389,0.76,11.57
113.927,5.39,0.78,11.64
113.887,5.44,0.74,11.64
114.107,5.38,0.77,11.74
115.537,5.36,0.77,11.64
114.168,5.29,0.78,11.569
114.528,5.31,0.749,11.48
116.077,5.3,0.77,11.58
113.727,5.37,0.76,11.62
113.977,5.35,0.76,11.62
168.755,6.36,0.93,14.75
136.227,6.01,0.86,12.78
119.008,5.37,0.76,11.839
127.907,7.23,1.1,16.259
127.218,5.569,0.77,12.61
117.367,5.22,0.78,11.69
114.957,5.23,0.77,11.64
114.407,5.31,0.78,11.64
115.428,5.38,0.78,11.609
115.378,5.51,0.77,11.7
117.597,5.39,0.8,11.79
117.927,5.3,0.77,11.68
114.857,5.26,0.77,11.47
114.427,5.22,0.73,11.709
114.858,5.41,0.79,11.509
116.988,5.309,0.77,11.45
115.117,5.56,0.81,11.63
115.007,5.44,0.78,11.57
108.347,5.16,0.76,11.64
115.267,5.48,0.78,11.64
114.857,5.3,0.77,11.559
149.487,6.27,0.92,13.499
129.867,6.03,0.87,12.88
114.497,5.91,0.85,12.47
104.077,5.42,0.77,11.66
117.077,5.32,0.76,11.699
115.128,5.33,0.75,11.719
106.278,5.2,0.74,11.509
115.318,5.239,0.76,11.61
116.787,5.28,0.78,11.61
114.587,5.27,0.8,11.49
114.587,5.21,0.78,11.59
115.977,5.26,0.76,11.68
114.348,5.34,0.79,11.549
113.618,5.27,0.75,11.779
112.148,5.239,0.76,11.57
137.247,6.17,0.92,13.159
127.057,5.95,0.88,12.53
119.657,5.74,0.84,12.48
117.648,5.36,0.77,11.569
116.488,5.349,0.76,11.72
123.617,6.76,1.9,13.21
120.697,5.62,0.8,12.489
117.038,5.399,0.81,11.71
115.367,5.28,0.82,11.58
114.457,5.29,0.75,11.49
116.047,5.41,0.8,11.58
158.126,5.31,0.79,11.729
130.047,5.48,0.84,11.84
116.277,5.33,0.8,11.65
114.327,5.23,0.8,11.78
114.747,5.15,0.79,11.669
115.858,5.12,0.79,11.609
114.468,5.189,0.81,11.69
114.097,5.17,0.77,11.61
122.967,5.15,0.79,11.7
115.617,5.17,0.79,11.639
113.458,5.18,0.76,11.529
114.048,5.109,0.81,11.7
113.657,5.11,0.79,11.66
113.387,5.18,0.82,11.46
115.667,5.11,0.78,11.58
119.357,5.36,0.79,11.68
114.238,5.13,0.82,11.659
114.688,5.17,0.81,11.579
116.197,5.15,0.76,11.49
113.797,5.19,0.77,11.66
114.207,5.08,0.77,11.48
114.927,5.19,0.77,11.74
114.507,5.01,0.81,11.57
137.027,6.36,0.9,13.34
131.377,5.929,0.85,12.8
116.717,5.15,0.78,11.63
114.197,5.13,0.76,11.67
113.307,5.19,0.8,11.68
115.037,5.22,0.77,11.58
113.668,5.29,0.81,11.529
156.887,7.42,1.07,16.36
164.815,7.5,1.09,16.519
151.617,6.579,0.99,14.39
139.387,7.07,1.08,15.249
137.918,7.32,1.09,15.729
139.306,6.21,0.9,13.31
153.527,7.18,1.04,15.68
134.085,7.72,1.14,16.92
149.437,6.14,0.869,13.31
113.927,5.1,0.72,11.45
143.166,7.74,1.1,16.26
169.576,6.35,0.92,13.53
113.567,5.47,0.83,11.89
115.407,5.9,0.88,12.81
112.727,6.09,0.86,12.969
109.518,5.93,0.86,12.389
108.708,5.88,0.86,12.399
109.578,5.859,0.87,12.58
108.997,5.72,0.86,12.44
123.067,5.04,0.79,11.52
125.117,6.18,0.89,13.399
121.167,5.4,0.79,12.06
122.847,5.42,0.8,11.85
115.528,5.17,0.76,11.699
113.828,5.099,0.78,11.64
