open,write,read,close
23.234,8.654,0.936,1.409
42.623,7.949,2.405,174.548
37.546,8.065,2.316,19.875
22.956,6.686,1.883,15.778
24.86,6.897,1.883,15.899
23.238,7.058,1.853,15.768
23.843,7.29,1.914,15.697
25.041,7.058,1.923,16.453
48.671,7.28,1.883,16.261
23.831,6.738,1.883,15.511
26.4,7.282,1.903,16.066
25.674,7.363,1.873,16.036
24.878,7.031,1.893,16.286
24.274,7.081,1.913,15.895
23.257,6.627,1.894,16.035
30.72,8.602,2.397,19.238
30.409,8.742,2.407,20.094
23.277,7.111,1.874,15.441
25.473,7.524,1.893,16.116
28.152,8.642,2.296,18.644
25.221,7.131,1.874,15.501
25.362,7.504,1.894,17.294
29.321,8.118,2.297,19.006
28.988,26.329,2.438,27.447
29.431,8.652,2.417,19.118
29.22,8.602,2.377,19.067
24.133,6.738,1.873,15.34
23.73,7.091,1.934,15.672
31.879,7.191,1.893,169.335
32.917,6.134,1.884,15.128
30.801,8.662,2.357,24.395
25.685,7.846,1.944,16.106
30.64,8.974,2.427,19.41
23.831,7.383,1.894,15.683
24.771,7.538,1.895,15.963
23.421,19.693,2.409,16.296
24.681,7.155,1.905,16.246
24.449,6.45,1.865,15.55
23.543,6.753,1.935,15.258
29.347,9.091,2.389,19.32
30.748,9.302,2.418,20.135
140.678,6.873,1.874,14.925
29.569,8.375,2.358,19.702
23.693,6.702,1.854,15.682
29.569,7.246,1.884,16.075
151.563,8.224,2.328,18.685
24.872,6.51,1.884,15.813
30.345,7.367,1.915,15.721
25.326,7.095,1.895,15.863
25.105,6.773,1.915,15.55
31.161,8.566,2.328,17.344
160.411,8.183,2.358,18.805
30.435,8.395,2.439,19.874
28.259,8.456,2.298,18.907
23.734,6.591,1.895,15.742
22.856,6.813,1.935,15.843
25.427,7.266,1.854,16.418
24.087,7.105,1.915,16.307
24.046,6.681,1.895,15.399
32.925,8.838,2.349,20.106
25.467,6.974,1.884,16.699
30.899,8.878,2.338,20.237
25.689,7.619,1.905,17.113
29.458,8.264,2.358,19.612
32.824,9,2.469,20.922
26.558,7.693,1.916,15.518
27.072,8.359,1.947,15.82
30.672,8.278,1.926,16.587
24.773,6.907,1.866,16.092
24.976,6.594,1.885,15.69
24.603,7.129,1.905,16.334
24.744,7.885,1.895,16.969
26.468,6.786,1.885,16.515
34.887,8.147,2.299,19.853
25.581,7.229,1.895,16.455
26.055,7.391,1.895,16.9
24.784,7.259,1.836,16.667
24.542,6.897,1.895,16.567
28.999,8.409,2.309,18.976
25.469,6.776,1.875,16.274
33.939,9.337,2.551,20.348
25.53,7.492,1.885,16.748
26.166,7.37,1.875,16.374
25.036,7.017,1.906,15.911
152.808,8.349,2.329,19.329
24.572,6.947,1.906,16.022
29.927,8.187,2.319,19.47
24.713,6.746,1.855,16.698
24.673,6.695,1.896,15.245
26.215,8.107,1.916,16.798
25.721,7.492,1.886,16.456
26.781,7.3,1.896,16.264
23.967,6.574,1.885,15.568
25.066,6.867,1.875,16.032
24.542,6.877,1.896,16.193
24.391,6.866,1.865,16.718
31.099,8.13,2.31,19.105
30.211,6.93,1.886,15.454
24.542,6.87,1.876,15.958
29.939,7.939,2.34,18.561
