open,write,read,close
977.872,118.634,103.192,204.222
901.717,122.068,111.282,208.605
890.566,120.846,109.454,214.251
915.059,117.826,100.99,199.646
930.038,119.311,101.313,201.707
979.972,117.19,102.515,207.221
921.241,119.048,103.121,204.181
938.067,115.807,96.687,202.556
877.8,119.038,103.414,198.434
891.173,118.139,110.565,200.313
881.79,118.291,103.354,199.404
865.498,135.966,97.869,214.05
994.567,136.652,94.264,199.667
888.658,117.352,97.333,200.909
894.567,120.513,103.374,223.443
896.192,118.897,102.182,204.677
912.928,119.442,107.192,202.252
883.093,152.055,109.494,229.462
914.999,117.483,104.565,207.969
909.696,118.675,107.03,200.646
877.497,120.836,103.384,209.03
920.988,117.665,100.556,209.474
923.563,118.038,98.93,208.877
1038.5,149.884,111.191,229.249
901.738,117.604,101.616,209.342
975.387,126.765,102.586,208.343
899.939,126.735,109.202,197.536
910.454,118.776,99.818,208.07
895.314,117.776,99.394,200.202
876.71,121.714,110.767,211.291
932.937,117.957,100.677,197.626
873.357,117.17,98.475,210.524
895.062,120.493,106.393,201
907.948,150.561,99.849,204.788
899.647,162.631,103.939,199.959
901.001,120.311,104.414,200.959
929.866,116.624,97.93,207.383
913.595,118.705,99.212,199.121
872.407,121.463,102.838,208.878
890.042,118.826,101.465,202.252
906.232,133.026,102.859,209.564
940.238,121.553,103.838,208.201
948.409,119.897,107.949,206.363
914.757,119.372,102.303,192.597
898.415,122.887,96.102,207.575
907.131,117.483,113.11,211.484
944.854,127.886,94.556,209.676
875.942,132.885,103.151,197.353
906.616,118.271,100.323,207.757
921.584,120.219,112.01,207.908
907.202,118.927,104.272,207.514
897.304,117.685,102.717,201.06
901.273,133.4,105.576,203.424
896.325,119.412,103.758,199.496
905.444,126.321,97.314,211.948
951.733,117.654,101.475,203.757
912.282,120.038,103.626,197.333
916.171,117.897,106.556,210.252
957.742,133.633,109.232,220.734
930.18,115.947,110.736,210.938
915.524,123.2,105.585,210.13
894.092,117.139,102.404,203.808
909.444,125.392,94.697,196.929
891.092,118.079,100.243,199.04
913.029,117.402,98.617,212.18
878.023,120.28,103.353,198.344
899.95,117.18,112.747,213.978
931.805,135.27,105.272,210.252
888.113,117.736,102.626,205.596
948.924,118.422,102.222,208.777
934.048,120.725,103.95,203.556
930.239,118.715,110.666,208.969
901.778,117.957,102.838,202.404
880.588,139.743,103.283,202.98
913.989,116.554,100.97,205.444
895.253,116.503,102.98,196.768
911.504,115.039,100.273,200.272
867.478,117.301,100.677,205.494
903.121,117.765,108.687,203.939
899.596,114.938,100.091,205.574
925.422,117.169,99.708,204.242
898.677,121.937,94.293,230.563
965.437,128.634,106.646,212.17
925.007,126.876,97.294,214.605
1039.08,177.961,115.968,218.301
1043.79,144.501,112.18,217.241
963.216,121.877,104.282,221.796
941.208,121.543,95.708,208.07
930.835,127.24,97.637,204.595
907.333,122.694,106.343,203.838
926.25,124.503,101.101,203.808
914.493,116.816,119.453,203.838
1014.21,119.402,102.171,212.009
977.043,118.392,103.858,210.686
891.274,116.927,99.667,253.621
915.988,117.402,101.516,206.373
962.569,115.958,101.879,199.243
880.285,130.704,105.636,204.292
907.686,120.785,102.04,205.797
902.263,124.452,96.939,194.061
919.331,116.917,100.758,224.644
924.402,120.038,102.091,197.959
909.938,118.079,101.677,199.253
917.877,118.756,100.434,208.736
972.438,122.907,100.919,210.767
960.792,152.501,114.522,247.137
906.818,117.422,102.071,198.051
921.716,122.392,103.262,206.383
914.555,124.795,111.03,206.131
910.101,118.967,102.303,200.434
880.537,126.886,115.888,203.182
891.849,122.603,103.707,219.999
922.826,118.856,102,226.341
882.841,120.138,102.93,198.263
924.714,116.705,101.849,200.718
897.808,142.652,97.717,204.586
917.241,142.632,105.423,218.341
949.268,123.27,97.203,201.334
889.516,117.372,114.979,213.15
895.93,121.058,104.707,195.96
896.919,127.503,101.929,203.889
912.1,117.089,101.324,204.626
880.083,121.452,102.454,197.566
959.297,118.503,101.687,198.627
891.738,116.473,100.617,220.281
879.477,147.137,103.06,212.898
920.16,119.2,101.677,205.535
893.506,117.432,102.04,199.071
894.97,121.725,115.089,202.828
988.375,143.127,134.846,248.823
957.722,131.542,106.424,210.06
956.125,118.584,102.131,204.05
900.869,118.654,109.797,226.048
914.706,116.978,101.708,203.384
904.626,120.129,110.333,207.505
923.443,119.059,101.727,204.959
935.825,128.886,101.404,210.211
907.02,119.866,104.121,206.716
902.232,117.867,100.839,202.383
899.505,119.523,104.061,217.009
888.193,118.321,100.111,193.445
1118.49,131.592,108.605,227.785
931.644,118.048,102.485,202.787
921.18,118.937,102.04,203.858
904.748,118.574,100.737,218.089
870.76,117.11,121.533,202.172
883.84,127.159,112.059,202.808
916.21,123.2,100.313,194.778
878.305,119.159,100.799,203.979
940.006,117.554,100.515,204.302
896.203,119.098,100.94,202.283
895.758,119.796,103.718,199.243
894.94,116.19,106.636,290.597
1062.93,147.086,109.04,218.867
905.828,118.301,101.586,212.999
906.808,117.473,107.172,206.969
882.326,119.503,101.122,214.12
937.32,120.392,101.202,203.172
921.352,131.754,100.637,203.061
894.456,118.139,100.707,193.687
935.603,120.998,101.414,203.687
920.302,117.907,106.919,205.293
924.533,126.936,92.657,222.907
916.675,117.665,106.464,204.636
987.042,116.917,101.788,252.561
929.421,117.463,102.131,208.918
944.42,116.746,101.505,203.152
939.209,118.149,107.828,209.727
902.162,127.129,102.333,205.272
904.515,116.14,112.595,196.869
936.351,117.069,106.677,205.525
899.879,119.281,101.475,204.404
926.492,117.079,100.798,202.929
939.36,120.28,116.827,204.565
