Run,Open,Write,Read,Close
1,225.6,146.7,21.7,139.6
2,236.2,78.9,8.5,172.9
3,162.1,80.2,102.4,190.4
4,138.9,49,5.9,162.1
5,111.7,56.1,5.5,193
6,125.7,55.5,5.7,132.9
7,87.8,43.2,4.9,75.1
8,93.5,45.8,5.2,73.6
9,116.3,54,7.5,99.9
10,98.3,52.1,5.2,634.7
11,255.3,76.2,8.8,156.4
12,131.3,49.3,5.6,93
13,104.2,52.5,4.9,80.6
14,90.5,44.1,4.7,123.7
15,86.4,61.7,6.2,77.4
16,80.7,54.5,49.4,85.8
17,91.4,129.1,13.7,462.2
18,211.9,69.5,15.5,135.9
19,118.9,47.5,5.5,129.8
20,118.4,53.1,5.2,78.9
21,92.2,44.1,5.1,121.9
22,94.9,44.5,5.3,160.8
23,122.3,60.7,7.1,214.7
24,227.2,94.2,10.6,182.7
25,193.9,79.2,10.1,144.2
26,164.3,85.4,9.2,156.8
27,218.2,95.1,11.3,135.5
28,163.4,74.3,6.3,106.9
29,150.1,76.4,8.1,215.7
30,174.7,67.6,6.3,112.4
31,157.5,71,7.7,105.8
32,171.1,173.5,13.8,204.6
33,246.2,92.9,9.3,238.2
34,320.7,104.2,8.5,141.1
35,275.4,123.8,11.6,159
36,436.1,124.6,24.3,157.1
37,217.9,79.7,9.1,139.1
38,223.5,83.2,9,129.2
39,427.8,1081.2,21.5,261.7
40,329.8,102.7,9.1,160.1
41,165,146.2,12.3,153.4
42,188.9,81.9,9.3,157.2
43,127.4,50.2,7.6,105.8
44,119.5,47.2,5.7,148.1
45,129.8,55.5,6.5,91
46,95.7,45.8,5.3,387.6
47,229.1,86.1,8,805.6
48,246.2,121,7.6,104.9
49,140.1,68.7,9.7,155.2
50,189.3,75.8,8.4,132
51,185.1,86.3,9.8,130.8
52,182.8,77.6,8.9,437.9
53,210.2,91.6,9.5,332.5
54,619.7,151,7.9,140.2
55,191.6,75.8,49.2,156.8
56,124.7,47.7,5.4,392.9
57,230.9,92.7,9.5,131.1
58,132.6,100.4,6,84.7
59,92.1,43.6,4.9,149.7
60,158.9,48.1,5.3,80
61,83.3,42.7,5.2,122.9
62,97.9,50.2,5.1,123.9
63,96.5,46.7,5,68.8
64,98.3,65,7.3,226.3
65,324.1,126.1,175.1,310.9
66,204.3,172.5,54.9,171
67,215.5,92.1,9.4,225.9
68,233.6,78.7,7.6,110.7
69,194.4,84.3,9.1,246.5
70,190,74.6,8.5,206.2
71,295.2,152.1,13.7,195
72,215.9,85.9,8.3,139.2
73,226.2,134.5,11.7,159.4
74,351.2,112.2,23.3,179.9
75,189.6,91.3,9.5,156.9
76,262.5,126.6,7.9,207.9
77,162.3,106.7,13.6,320.7
78,141.2,78.7,6.7,96.1
79,97.8,404,15.4,195.6
80,182.1,70,48,156
81,122.6,65.7,5.8,479.2
82,210.8,93.6,9,307.1
83,245.7,74.3,8,109.9
84,129.2,50,5.7,196
85,128.7,49.3,5.7,84.7
86,91.7,43.3,5.1,75.1
87,90.5,44.9,4.7,73.5
88,80.7,67.6,5.2,299
89,206.8,182.4,8.9,109.6
90,130.4,61.8,6,156.6
91,112,93.1,5.4,80.5
92,88.7,45.3,5,226.1
93,128.5,60.8,8.1,129.1
94,98.7,54.1,11.5,99
95,84.4,42.4,5,70.3
96,98.8,45,5.7,71.3
97,93,45.6,5,71.4
98,79.4,42.7,6.1,79.7
99,75.5,44,6.8,269.8
100,453.4,129.6,12.7,164.2
101,230.1,91.8,11,145.8
102,374.4,116.8,11.4,169.2
103,283.5,112.2,133.9,183.1
104,278,102.3,10.4,190.4
105,259.8,131.7,11.6,175.6
106,218.4,67.5,6.8,112.7
107,126.7,49.8,6,205.8
108,185,69.5,7.4,155.9
109,155.6,52.8,5.6,197.2
110,196.1,83.5,8.7,306.7
111,448.1,135.1,8,133.6
112,170.1,56,7.1,277
113,247.9,75.3,8,113.2
114,127.3,49.7,5.7,158.4
115,117.8,53.7,5.3,71.1
116,450,91.1,7.7,199.1
117,169.7,55.2,6.5,92.8
118,102.1,44.5,4.9,119.6
119,104.4,206.5,5.6,652.9
120,446.4,145.7,8.4,130.9
121,168.4,126.8,8,137.6
122,135.3,50,5.8,169.9
123,135.4,123.3,34,102.1
124,100.8,45.7,5.1,76.9
125,104.9,44.6,5,133.3
126,107.3,47.7,5.3,245.3
127,326,154.7,8.4,137.6
128,186,124,7.4,155.6
129,407.6,178.7,12.8,253.4
130,243.6,138.6,10.3,140.5
131,180,193.2,14.4,145.1
132,179,152.2,11.8,140.4
133,216.6,86,7,111.2
134,195.6,65.7,6.1,90.5
135,135.2,64.9,6.3,313
136,209.3,502.2,18.7,159.7
137,306.9,122.9,12,236.6
138,172.4,79.3,8.5,148.1
139,204.7,74.1,6.6,96.5
140,119.2,50.2,6.7,179.1
141,92.5,44.5,4.8,74.3
142,99.6,45.6,5.1,95.9
143,106.1,45.7,5.2,168.5
144,121.3,60.1,5.5,426.8
145,278.1,82,7.7,120.3
146,120.2,49.6,5.7,164.5
147,112.6,54,6.7,101.8
148,96,52.1,10.5,102.3
149,81.4,45.8,4.9,71.5
150,98.5,185.4,12.7,129.1
151,176,62.7,6.2,97.9
152,108.3,45.9,4.9,145.4
153,113.9,49.2,6.5,146.7
154,128.3,56.7,5.1,89.3
155,85.9,43.6,4.9,87.4
156,98.5,46.8,4.8,74.2
157,83.3,43.2,4.8,75.7
158,75.8,52,5,122.4
159,89.4,57.7,7.3,85.8
160,88.5,42.8,5,71.9
161,86.5,46.1,4.9,123.1
162,86.3,52.1,5.4,151.8
163,126.3,247.4,13.3,128.4
164,162.5,118.3,7.1,132.7
165,561.2,118.5,9.5,136.5
166,173.6,52.8,6.3,160.2
167,190.3,47.1,5.5,98.5
168,145.9,130.2,10.5,423.7
169,187,146.9,11.7,143.1
170,188.5,73.5,6.5,107.5
171,149.4,129.9,237,247.3
172,270.6,134.4,7.9,108.1
173,136.8,51.1,5.8,152.6
174,266.3,113,10.6,243
175,236.8,145.5,8.7,139.9
176,187.3,313.2,19.6,162.5
177,186.3,62.2,7.2,224.4
178,162.2,99.1,9.1,229.3
179,258.1,151.4,11.9,149.2
180,211.9,84.7,34.3,158.3
181,163.6,152.5,11.4,149.9
182,319.1,136.4,11.3,140.8
183,192.5,61.4,6.1,127
184,126.2,50.1,5.2,143.6
185,116.7,45.7,5.2,81.2
186,88.4,49.3,5,77.2
187,88.1,45.7,4.9,75.4
188,79.9,57.1,5.8,77.1
189,77.9,55.6,88.4,212.3
190,160,87.1,59.8,147.3
191,119.6,84.4,6,153.3
192,119.6,47.9,5.6,79.1
193,88.1,100.5,34.6,82.6
194,325.1,52.5,5.6,80.6
195,141.6,50.8,5,79.2
196,94.4,55.4,5.6,81.1
197,338.7,78,5.8,130.9
198,93.6,45.9,4.9,72
199,148.3,49.3,5,74
200,88.7,42.5,4.6,78.1
201,96.3,47.6,4.6,123.8
202,147.9,46.2,5,77
203,82.2,42,4.8,70.8
204,91.4,44.5,4.8,70.8
205,85.1,45.6,4.8,77
206,133.7,66,7.5,150.7
207,260.1,117,9.2,200.7
208,169.4,76.4,8.2,108.9
209,121.1,75.5,7.2,135.9
210,135,63.2,5.7,87.8
211,101.8,57.4,7.3,83.4
212,103.8,56.8,7.3,83.8
213,197.8,70.1,8.4,120.5
214,138.8,93.9,8.2,98.8
215,115.4,62.3,6.4,103.9
216,106.1,47.6,5,75.8
217,95,54.8,87.7,199
218,163.9,121.7,43.9,103.8
219,253.1,60.4,5.8,86
220,152.3,47.3,5.7,105
221,100.5,50.6,5.2,97
222,89.1,53.9,5.3,78.6
223,199.7,97.8,5.3,84.3
224,97.3,44.6,5,132.2
225,94.8,46.2,5,118.2
226,90.2,50.8,4.9,112.9
227,80.2,41.9,5.1,68.3
228,132.2,48.7,4.9,74.1
229,86.2,42.8,4.8,61.6
230,411.6,107.7,8.2,328.9
231,181.3,55.9,6.2,102.7
232,134.5,49.1,5.3,83.7
233,101.8,106.1,5.7,82.3
234,98.2,45.9,5.1,74.4
235,83.6,137.8,8.3,140.3
236,112.3,46.9,5.1,76.9
237,202.8,48.6,4.9,70.5
238,81.5,43.6,6.1,179.5
239,92.9,46.6,6.1,267.3
240,92.2,44.7,5,128.4
241,132.2,45.1,5.1,68.4
242,78.5,42.3,5.1,134.4
243,130.9,47.7,5.2,133.3
244,96.2,45.2,5.2,109.5
245,87.2,62.4,5.1,72.3
246,81.2,56.4,5.6,101.3
247,82.2,45.5,4.7,69.1
248,77.9,41.7,4.9,150.7
249,88.8,136.6,5.6,151.7
250,147.7,48.2,5,115.9
251,90.8,46.1,5.1,333.3
252,205.1,82.4,7.9,235.9
253,671.7,112.7,11.9,223.2
254,309.3,98.5,10.7,185.6
255,144.6,53.6,6.1,93.8
256,147.1,66.1,8.2,330.9
257,253.5,84.6,9.6,216.1
258,238.8,105.1,11.5,148.8
259,232.9,86.6,10,234.6
260,220.5,86.6,8.2,168.1
261,204.6,96.7,25.7,140.6
262,131.3,62.3,6.1,104.6
263,118,68.2,5.7,156
264,122.9,56,6.1,324.5
265,114.7,51,6.4,257.6
266,210,72.6,7.6,106.6
267,125,49.8,5.4,84.7
268,100.7,48.6,5,77.2
269,85.7,47.8,5.3,130
270,122.2,45,4.9,99.3
271,160.9,133.5,6.2,105.2
272,137,48,5.5,172.3
273,184.6,63,5.6,116.9
274,156.5,71.5,116,103.5
275,104.6,111.2,15.5,125.6
276,101.5,45.3,5.2,204
277,128.9,50,7.2,319.1
278,117.1,47.6,6.6,149
279,142.2,69.7,7.3,303.5
280,208.3,79.5,9.6,116.1
281,133.7,62.4,5.9,92
282,106.7,47.1,5.1,80.3
283,131.1,93.2,9.4,94.3
284,122.4,45.9,5.4,251.7
285,236.3,84.2,7.9,124.6
286,136.7,53.3,8,104.7
287,163.5,80.3,6.2,93.4
288,123.3,46.1,5.2,77
289,101.3,59.8,5.1,76.2
290,588.8,113.8,10.3,151
291,211.7,291.4,13.2,150.2
292,197.3,77.5,9.1,126.8
293,165.7,70.5,9.2,149.2
294,115.4,124.5,9,106.9
295,135.9,48.3,5.7,164.5
296,123.2,55.6,8,158.6
297,159.9,120.3,6.5,85.6
298,97.6,44.7,5.2,77.4
299,97.3,45.6,5,176.6
300,101.7,47,6.4,87.1
301,84.4,48.4,4.9,104.9
302,81.5,42.3,4.7,70.7
303,90.2,45,4.8,69.5
304,83,44.5,4.6,67.8
305,171.8,52.4,5.2,75.4
306,92.1,43.4,5.5,140.6
307,91,78.3,7.6,150.4
308,131.7,253.2,18.5,152.3
309,204.3,60.9,7.1,117.6
310,148.9,65.9,8.2,90.8
311,111.7,60.4,6.9,85.4
312,104.8,114,8.4,122
313,145,57.4,5.7,87.4
314,103.4,43.3,4.8,75.1
315,93.4,44.4,5,73.2
316,142.7,48.3,5.1,118.1
317,96.3,44.9,5.2,240
318,95.1,46.1,5,74.3
319,85.8,52.5,5.7,130.4
320,98.8,52.7,5.5,85.5
321,87.3,48.4,5.3,70.7
322,77,42.5,4.6,113.9
323,96.4,47,5.1,75.2
324,83.5,42.8,4.8,129.9
325,92.2,45.1,5.2,210.3
326,227.6,74,7.3,107.9
327,132.4,64.8,5.7,92.1
328,190.6,80.1,9.5,197.3
329,170.1,64.8,6.1,89.1
330,115.8,59.4,5.3,81.9
331,97.5,61,7.1,81.5
332,100.4,58.9,5,82.5
333,124.7,66,5.2,84.9
334,108.4,58.2,5.3,114.7
335,123.5,55.9,5.1,85.2
336,96.3,59.7,5,79.4
337,126.3,67.3,7.4,114.6
338,419,123.8,11.1,145.1
339,219,17.9,9.4,177.5
340,188.7,86.5,9.5,130.5
341,158.1,77.4,8.2,195.5
342,290.2,109.3,10.1,157.2
343,185.7,100.6,10,142.1
344,147.5,54.8,5.7,154
345,132.7,58.7,5.8,87.1
346,170.3,65.5,9.3,137.1
347,168,67.4,5.7,81.2
348,139.7,64,5.5,82.5
349,114.1,45.5,4.9,75.5
350,86.5,42.5,5.9,185.5
351,176.7,248.4,13.7,146.7
352,211.3,71.8,6.3,101.8
353,208.9,71.2,6.4,99.7
354,127.2,46.4,5.2,157.8
355,103.6,46.3,7.7,357.1
356,213.3,71.6,7.7,112.2
357,149.6,65.9,6,92.5
358,151.8,60.4,5.8,88.2
359,99,58.6,6.9,83
360,186,67.3,5.8,92.3
361,119.6,58,6.5,89.8
362,102.5,48.6,4.8,76.5
363,88.3,43.5,4.9,235.4
364,109,51.7,4.9,76.4
365,134.3,47.8,5.3,108.3
366,93,48.7,6.5,99.7
367,129.2,62.5,8.1,152.2
368,134.4,268.2,17.9,148.7
369,198.9,61.7,6,165
370,154.6,50.7,5.8,93
371,191.1,65.4,5.7,91.4
372,107.5,43.9,5,218.2
373,132.3,72,5.4,275.2
374,103.4,50.9,5.4,125.4
375,231.8,163.6,12.5,156.5
376,194.1,561.9,19.8,293.5
377,255.2,101,10.1,136
378,203.4,93.5,10.3,196.3
379,209.4,69.6,7.2,144.1
380,123.3,52.4,6.7,146.3
381,129.6,49.1,5.4,84.6
382,92.2,42.7,4.8,74.6
383,218.9,53.2,5.3,137.8
384,94.1,153.6,14.4,148
385,224.8,67.5,6.9,100.2
386,131.8,64.5,7.4,90.7
387,105.8,60.7,8.5,82.2
388,96.7,76.3,5.2,83.6
389,100.4,58.7,7,80.9
390,151.6,90.6,7.2,108.4
391,162.6,74.5,5.7,89.1
392,175.1,72.4,6.1,171.9
393,141.9,48.1,5.2,84.7
394,120.2,60.9,5.2,81
395,102.8,143.8,5.4,81.4
396,92.7,57.9,7,83
