Run,Open,Write,Read,Close
1,435.800,224.900,33.300,331.800
2,399.900,172.800,19.900,271.700
3,301.500,148.200,18.400,248.300
4,335.100,198.200,20.300,216.400
5,256.900,97.700,10.800,240.600
6,272.100,97.600,11.500,160.500
7,223.300,195.100,21.600,360.900
8,568.400,136.200,14.900,226.400
9,214.000,116.200,11.500,135.400
10,401.000,232.000,14.900,309.100
11,217.200,103.700,12.500,154.000
12,194.900,81.800,9.900,138.400
13,142.700,68.500,8.600,376.300
14,214.200,92.400,10.800,142.700
15,169.400,84.200,9.100,132.100
16,181.700,80.000,8.600,129.200
17,185.200,94.100,10.800,430.400
18,339.200,335.000,15.900,360.800
19,243.800,121.500,85.900,337.100
20,227.900,468.300,27.200,423.000
21,428.200,247.200,20.200,272.600
22,321.900,160.900,19.900,406.700
23,309.100,155.700,14.300,186.400
24,186.200,85.500,9.700,233.300
25,381.000,146.600,11.000,187.800
26,225.300,115.300,11.000,151.200
27,250.700,141.600,13.300,227.200
28,214.700,228.200,24.400,300.800
29,447.000,208.700,20.600,306.900
30,286.100,221.400,36.600,698.400
31,795.500,199.900,19.900,301.600
32,327.100,120.600,11.600,255.900
33,178.100,109.600,11.700,383.500
34,296.500,170.500,19.900,329.100
35,569.800,238.400,20.600,278.500
36,344.100,199.700,18.600,260.600
37,496.100,222.500,20.000,442.200
38,356.100,145.800,16.600,272.000
39,231.300,230.700,22.400,333.300
40,366.200,229.900,22.300,342.400
41,336.100,142.900,18.000,240.200
42,323.700,193.700,21.000,332.900
43,320.400,152.800,16.400,420.400
44,254.400,129.500,16.800,224.600
45,218.000,182.400,16.800,213.100
46,477.800,173.800,15.200,177.200
47,346.700,114.600,10.700,257.600
48,551.100,196.100,33.900,370.400
49,371.800,253.300,15.900,463.800
50,376.400,279.300,15.700,429.500
51,425.100,807.300,14.800,450.100
52,684.100,128.500,12.400,380.700
53,977.400,134.900,16.200,194.100
54,242.300,96.500,9.500,158.900
55,178.000,91.800,9.800,201.900
56,491.200,308.400,20.600,222.000
57,219.400,106.600,10.500,425.000
58,409.600,182.300,20.400,362.500
59,1602.700,439.200,362.400,907.400
60,561.600,241.700,20.600,313.200
61,454.800,220.600,24.400,286.000
62,287.200,191.100,13.900,177.200
63,293.500,143.500,11.800,526.400
64,319.400,168.400,20.700,265.700
65,380.800,159.700,18.300,352.300
66,256.300,144.100,17.600,753.200
67,315.600,164.400,18.600,261.200
68,454.800,158.300,17.700,236.600
69,237.100,136.200,15.700,215.500
70,303.200,160.500,18.600,289.000
71,312.800,202.600,14.100,198.300
72,1339.100,5415.000,33.600,428.300
73,376.500,199.100,19.300,248.400
74,255.600,240.000,97.000,472.200
75,406.300,236.200,17.300,203.300
76,208.900,93.600,14.200,257.300
77,197.400,97.300,9.700,251.500
78,339.700,107.300,9.800,277.100
79,226.600,161.600,12.400,162.800
80,157.300,70.300,7.200,232.400
81,318.900,163.100,18.500,251.900
82,304.300,184.400,18.200,259.600
83,286.200,163.200,19.700,239.300
84,242.400,293.100,28.900,427.800
85,299.900,199.900,17.700,495.300
86,494.600,254.200,20.300,220.700
87,190.900,217.200,91.100,247.000
88,152.200,85.600,9.300,451.400
89,273.300,96.000,8.700,122.000
90,313.900,253.900,22.100,288.200
91,246.700,81.600,9.200,235.100
92,329.100,181.600,18.300,293.500
93,310.700,150.300,17.900,299.900
94,306.900,153.100,17.400,367.500
95,289.100,150.300,18.600,232.300
96,359.900,248.100,22.000,268.700
97,289.700,147.000,18.500,287.800
98,343.200,170.300,20.500,327.100
99,268.600,277.000,19.800,307.100
100,667.000,115.800,14.200,283.900
101,291.100,154.500,11.900,444.600
102,283.500,114.600,12.300,152.000
103,289.200,1057.800,107.700,316.000
104,322.400,215.400,19.500,262.700
105,240.200,107.100,12.300,148.300
106,280.200,135.200,11.900,165.300
107,190.800,87.000,9.200,133.600
108,228.800,85.800,8.400,228.000
109,354.800,98.900,12.000,132.900
110,150.500,72.300,8.800,186.800
111,120.000,57.200,5.700,85.400
112,76.900,43.500,4.100,68.900
113,65.200,47.000,4.700,69.100
114,86.100,61.900,6.400,99.300
115,118.600,68.800,7.400,212.500
116,439.600,180.100,14.300,140.500
117,198.300,92.100,9.300,255.800
118,174.500,93.100,10.400,132.200
119,157.500,218.100,11.300,142.600
120,159.900,228.400,32.300,279.100
121,263.700,157.200,17.700,261.700
122,433.700,191.300,19.400,349.600
123,302.000,184.700,19.100,293.700
124,332.300,211.200,13.300,165.300
125,314.600,113.700,10.700,132.100
126,171.900,83.300,9.300,125.400
127,135.000,142.100,8.800,222.800
128,317.900,156.400,58.800,329.000
129,426.100,233.900,20.300,306.800
130,220.200,211.500,12.000,202.200
131,178.700,92.400,9.400,305.800
132,187.700,76.400,59.700,470.700
133,211.100,205.300,13.400,181.000
134,182.600,95.000,10.200,132.000
135,263.400,91.500,9.600,192.900
136,260.000,84.400,9.600,336.100
137,269.400,142.400,18.600,220.400
138,199.400,97.000,10.800,139.700
139,282.800,242.400,29.900,402.700
140,232.300,118.900,12.700,151.300
141,211.000,94.900,9.500,129.200
142,163.500,76.600,8.700,123.700
143,136.900,334.200,24.100,260.600
144,291.100,291.900,51.400,528.500
145,230.100,138.400,13.100,173.300
146,323.900,197.600,12.600,231.400
147,294.800,135.300,13.900,143.000
148,277.700,152.900,15.800,265.400
149,196.800,117.700,7.800,116.300
150,404.500,96.200,10.300,240.000
151,182.800,84.600,12.000,254.100
152,288.400,215.500,27.400,322.100
153,195.800,281.600,11.500,140.300
154,168.400,79.800,7.900,881.300
155,505.900,184.900,18.900,349.900
156,348.400,198.000,21.200,283.300
157,503.600,346.100,27.000,251.600
158,331.900,316.900,19.600,451.900
159,339.500,153.200,17.300,387.100
160,370.700,189.200,19.000,240.800
161,359.500,163.100,19.800,222.600
162,238.300,136.300,15.900,233.700
163,220.400,130.800,17.300,342.400
164,270.400,240.700,20.700,234.100
165,369.500,186.600,19.700,346.700
166,267.200,260.900,24.800,320.000
167,262.300,187.000,17.400,209.000
168,231.900,131.500,15.300,620.800
169,311.100,106.500,10.700,119.600
170,154.000,76.000,7.500,120.400
171,184.500,156.900,8.200,206.900
172,197.300,112.000,11.700,145.500
173,245.600,136.700,13.200,151.100
174,342.100,241.000,19.100,322.600
175,335.400,219.000,16.600,160.400
176,176.300,142.900,11.600,263.500
177,173.300,233.800,13.300,239.500
178,405.200,348.900,46.100,1078.200
179,523.200,1789.400,17.400,193.300
180,250.400,286.800,14.100,1054.700
181,295.600,579.700,18.900,395.500
182,299.100,158.600,13.500,188.500
183,228.600,84.000,8.400,139.700
184,371.300,166.600,19.100,401.600
185,285.100,151.300,17.800,211.100
186,225.600,133.100,15.900,268.800
187,267.600,130.000,16.300,305.800
