open_us,write_us,read_us,close_us
37,40,5,37
604,17,10,28
569,22,8,142
422,19,7,140
635,21,9,32
510,14,5,25
552,15,7,26
491,20,9,40
540,21,9,38
467,20,10,38
502,20,14,39
506,16,7,26
486,25,9,37
507,38,9,36
469,14,8,23
481,20,13,35
1355,23,9,148
454,565,11,392
710,23,10,33
544,18,9,29
755,16,10,26
465,12,6,27
2390,32,13,56
594,23,10,42
538,22,11,39
510,23,9,39
508,21,9,36
505,21,9,31
542,23,9,38
473,20,9,38
460,26,9,36
738,21,9,28
495,17,7,42
484,22,12,39
479,22,9,38
500,17,7,25
454,21,9,37
490,21,9,38
481,14,8,23
490,22,10,36
558,24,9,38
468,20,9,38
490,24,9,37
443,15,8,23
464,21,10,34
475,13,6,23
435,12,6,20
462,21,10,39
4730,42,20,67
648,20,10,31
581,24,10,38
484,20,8,41
504,78,10,39
478,20,11,43
475,19,10,40
453,16,7,24
465,22,10,39
531,20,9,32
516,21,9,41
500,20,9,39
499,20,9,38
474,21,9,38
561,21,9,39
509,17,8,25
441,14,6,23
488,21,9,41
468,20,11,35
508,20,9,39
509,22,9,35
1010,24,9,34
990,22,10,32
574,21,10,72
546,22,9,40
508,20,9,41
532,20,9,39
536,23,9,39
503,20,10,36
503,21,9,38
492,18,8,24
463,13,6,21
478,22,9,37
533,14,6,22
462,11,5,20
460,13,6,22
475,22,14,37
496,20,9,35
491,21,9,38
562,25,11,36
490,14,6,22
459,11,5,20
463,20,10,35
490,35,8,36
485,21,9,35
489,23,10,32
430,15,7,25
480,41,40,41
520,16,7,26
609,21,9,41
513,22,8,36
502,19,10,36
513,15,8,28
481,22,9,38
462,14,7,22
475,21,9,37
487,21,9,35
471,20,10,35
506,21,9,29
523,21,9,36
476,21,9,36
477,20,9,35
493,21,8,48
506,21,9,35
478,19,9,33
449,20,8,35
475,20,9,34
444,15,6,23
463,22,9,33
485,22,9,35
483,20,9,33
427,14,7,22
433,12,6,21
389,11,4,21
467,22,9,33
434,13,6,21
453,21,9,34
1104,29,11,39
1039,21,9,32
883,18,7,30
811,23,10,34
810,16,7,27
751,32,5,28
482,21,7,85
651,16,8,25
726,12,5,23
408,35,11,21
472,20,9,37
510,20,9,35
503,20,10,34
447,15,7,22
447,21,13,36
478,22,10,33
467,19,6,21
443,12,6,20
455,36,9,34
507,20,9,33
502,23,8,41
631,29,12,38
550,23,11,54
485,18,8,26
486,22,9,48
607,23,9,54
549,27,10,35
461,24,9,33
517,23,10,43
461,20,25,39
461,22,9,31
467,26,10,45
548,14,10,28
471,26,9,41
546,21,10,35
428,41,6,24
462,25,10,41
550,26,9,33
501,23,10,34
461,26,8,42
451,22,11,38
554,23,9,38
443,21,8,37
537,24,9,34
460,37,9,40
572,22,9,33
466,22,9,34
459,22,9,36
486,22,9,28
453,13,5,23
462,27,10,44
541,21,8,36
469,26,9,35
435,21,9,35
553,22,9,33
473,22,9,33
470,21,9,36
460,18,7,26
422,12,5,22
447,24,10,36
577,22,10,42
465,22,10,36
522,15,7,23
412,11,5,35
417,25,9,38
438,23,8,35
472,21,8,40
539,21,8,34
539,22,10,34
534,22,9,34
432,21,10,26
491,26,10,43
550,21,8,35
534,21,9,39
488,22,9,34
552,23,8,33
473,21,8,34
464,16,6,24
463,11,5,22
457,26,10,41
549,21,9,34
483,22,9,40
554,21,9,32
486,36,9,37
470,21,10,34
543,26,17,59
520,19,14,30
516,23,10,53
397,21,9,39
446,26,11,45
459,21,9,38
453,24,9,35
485,21,9,43
451,22,10,38
457,21,10,35
454,22,9,36
559,21,11,34
455,20,8,35
563,23,9,40
450,21,8,36
556,21,9,33
482,21,9,36
554,22,14,54
399,22,7,30
459,25,9,41
545,21,8,35
480,21,13,35
484,16,7,25
455,26,10,38
558,13,5,23
466,24,9,50
532,21,9,34
482,22,9,45
445,23,9,37
750,22,9,41
458,17,6,24
454,11,6,27
434,11,4,21
462,26,10,42
545,21,8,35
491,22,9,34
482,14,6,23
469,41,10,43
526,21,9,34
489,22,9,42
437,23,8,38
544,25,9,42
446,21,10,36
554,21,9,33
492,22,9,34
501,21,9,35
547,16,8,25
498,21,8,32
473,25,9,41
545,21,8,32
539,22,9,35
478,25,9,38
614,18,8,29
512,23,9,45
547,22,10,36
395,20,8,29
460,13,6,37
493,20,8,30
471,18,6,25
461,24,10,36
463,27,10,33
476,22,9,33
469,26,8,32
457,21,8,75
425,22,9,33
465,22,8,33
466,22,8,32
448,21,8,32
454,22,9,32
450,22,9,32
473,21,8,35
463,21,8,32
460,21,8,33
467,27,9,32
456,21,8,34
571,22,9,33
468,36,8,34
481,22,8,32
459,21,9,32
436,20,7,31
480,23,9,37
477,23,14,33
472,22,8,34
459,21,8,33
454,21,8,34
464,22,8,38
661,23,11,47
568,23,10,36
472,23,9,34
476,22,8,33
467,21,8,34
467,23,9,32
463,22,9,33
470,22,9,33
453,22,9,32
453,23,9,46
427,23,8,34
432,23,9,32
458,21,8,34
462,21,8,36
562,21,8,33
473,21,8,28
453,26,10,39
464,22,8,38
552,21,8,37
441,27,9,35
581,18,8,25
484,11,5,21
460,26,9,43
400,15,28,25
451,11,5,22
458,26,10,50
548,12,5,21
471,26,9,39
536,12,5,22
503,38,10,35
446,18,8,26
466,14,6,29
478,22,7,28
428,31,10,46
489,23,10,40
419,22,9,38
558,22,8,33
550,28,9,35
456,20,7,29
395,13,13,22
473,11,4,21
452,11,4,27
440,27,10,53
543,22,8,35
531,22,9,37
