variant,samples,mean_ns,min_ns,max_ns,stddev_ns,ci95_ns
atomic_flag,1000,13.6,0,84,19.7,1.2
atomic_flag,1000,13.6,0,42,19.6,1.2
atomic_flag,1000,13.6,0,42,19.5,1.2
atomic_flag,1000,13.6,0,83,19.6,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.9,0,84,19.7,1.2
atomic_flag,1000,14.0,0,83,19.8,1.2
atomic_flag,1000,13.8,0,42,19.6,1.2
atomic_flag,1000,13.8,0,42,19.6,1.2
atomic_flag,1000,13.4,0,42,19.5,1.2
atomic_flag,1000,12.9,0,42,19.3,1.2
atomic_flag,1000,13.8,0,42,19.6,1.2
atomic_flag,1000,13.7,0,83,19.7,1.2
atomic_flag,1000,14.1,0,84,20.2,1.3
atomic_flag,1000,13.7,0,42,19.6,1.2
atomic_flag,1000,14.0,0,84,19.9,1.2
atomic_flag,1000,13.6,0,42,19.6,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.6,0,83,19.6,1.2
atomic_flag,1000,13.7,0,83,19.7,1.2
atomic_flag,1000,13.3,0,42,19.4,1.2
atomic_flag,1000,13.6,0,83,19.6,1.2
atomic_flag,1000,14.1,0,84,20.3,1.3
atomic_flag,1000,13.6,0,83,19.6,1.2
atomic_flag,1000,14.0,0,42,19.7,1.2
atomic_flag,1000,13.4,0,42,19.5,1.2
atomic_flag,1000,34.4,0,20667,653.4,40.5
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.7,0,42,19.6,1.2
atomic_flag,1000,14.0,0,42,19.7,1.2
atomic_flag,1000,13.7,0,83,19.8,1.2
atomic_flag,1000,13.6,0,42,19.5,1.2
atomic_flag,1000,13.6,0,42,19.6,1.2
atomic_flag,1000,13.8,0,42,19.6,1.2
atomic_flag,1000,13.6,0,42,19.5,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,24.6,0,8959,283.6,17.6
atomic_flag,1000,13.6,0,42,19.6,1.2
atomic_flag,1000,13.7,0,42,19.6,1.2
atomic_flag,1000,13.6,0,42,19.5,1.2
atomic_flag,1000,13.6,0,42,19.6,1.2
atomic_flag,1000,13.8,0,84,19.7,1.2
atomic_flag,1000,13.2,0,42,19.4,1.2
atomic_flag,1000,13.7,0,84,19.7,1.2
atomic_flag,1000,14.0,0,83,19.9,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.6,0,84,19.6,1.2
atomic_flag,1000,13.9,0,42,19.7,1.2
atomic_flag,1000,13.8,0,83,19.7,1.2
atomic_flag,1000,13.5,0,83,19.7,1.2
atomic_flag,1000,13.6,0,42,19.6,1.2
atomic_flag,1000,13.4,0,42,19.5,1.2
atomic_flag,1000,13.7,0,84,19.7,1.2
atomic_flag,1000,13.6,0,42,19.5,1.2
atomic_flag,1000,13.5,0,83,19.6,1.2
atomic_flag,1000,13.7,0,42,19.6,1.2
atomic_flag,1000,13.7,0,42,19.6,1.2
atomic_flag,1000,13.8,0,83,19.7,1.2
atomic_flag,1000,13.6,0,42,19.5,1.2
atomic_flag,1000,13.6,0,83,19.6,1.2
atomic_flag,1000,13.6,0,42,19.6,1.2
atomic_flag,1000,13.8,0,42,19.6,1.2
atomic_flag,1000,13.3,0,42,19.4,1.2
atomic_flag,1000,13.7,0,42,19.6,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.4,0,42,19.5,1.2
atomic_flag,1000,13.4,0,42,19.5,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.8,0,42,19.6,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,24.3,0,11292,357.2,22.1
atomic_flag,1000,13.6,0,42,19.6,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.6,0,83,19.7,1.2
atomic_flag,1000,13.8,0,42,19.6,1.2
atomic_flag,1000,13.7,0,42,19.6,1.2
atomic_flag,1000,13.7,0,42,19.6,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,14.0,0,42,19.7,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.4,0,42,19.5,1.2
atomic_flag,1000,13.6,0,42,19.5,1.2
atomic_flag,1000,13.8,0,42,19.6,1.2
atomic_flag,1000,14.1,0,84,19.9,1.2
atomic_flag,1000,13.6,0,42,19.6,1.2
atomic_flag,1000,13.6,0,84,19.6,1.2
atomic_flag,1000,13.6,0,42,19.5,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.6,0,83,19.6,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.8,0,83,19.7,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.5,0,42,19.5,1.2
atomic_flag,1000,13.8,0,84,19.7,1.2
atomic_flag,1000,14.0,0,84,20.0,1.2
atomic_flag,1000,13.7,0,42,19.6,1.2
atomic_flag,1000,13.4,0,42,19.5,1.2
atomic_flag,1000,13.3,0,83,19.5,1.2
os_unfair_lock,1000,15.8,0,83,20.3,1.3
os_unfair_lock,1000,16.2,0,125,21.2,1.3
os_unfair_lock,1000,15.9,0,42,20.3,1.3
os_unfair_lock,1000,16.2,0,83,20.5,1.3
os_unfair_lock,1000,16.1,0,84,20.6,1.3
os_unfair_lock,1000,15.9,0,42,20.3,1.3
os_unfair_lock,1000,16.0,0,42,20.3,1.3
os_unfair_lock,1000,16.0,0,42,20.3,1.3
os_unfair_lock,1000,15.8,0,42,20.2,1.3
os_unfair_lock,1000,16.0,0,42,20.3,1.3
os_unfair_lock,1000,16.0,0,83,20.4,1.3
os_unfair_lock,1000,15.8,0,42,20.2,1.3
os_unfair_lock,1000,17.1,0,333,22.9,1.4
os_unfair_lock,1000,16.1,0,83,20.4,1.3
os_unfair_lock,1000,15.9,0,42,20.3,1.3
os_unfair_lock,1000,15.9,0,42,20.2,1.3
os_unfair_lock,1000,15.9,0,42,20.3,1.3
os_unfair_lock,1000,15.8,0,42,20.2,1.3
os_unfair_lock,1000,15.8,0,42,20.2,1.3
os_unfair_lock,1000,15.7,0,42,20.2,1.3
os_unfair_lock,1000,15.8,0,83,20.3,1.3
os_unfair_lock,1000,15.8,0,42,20.2,1.3
os_unfair_lock,1000,16.4,0,209,21.5,1.3
os_unfair_lock,1000,15.9,0,83,20.3,1.3
os_unfair_lock,1000,16.0,0,42,20.3,1.3
os_unfair_lock,1000,16.0,0,83,20.4,1.3
os_unfair_lock,1000,15.7,0,42,20.2,1.3
os_unfair_lock,1000,15.7,0,42,20.2,1.3
os_unfair_lock,1000,15.8,0,42,20.2,1.3
os_unfair_lock,1000,16.1,0,83,20.4,1.3
os_unfair_lock,1000,16.0,0,83,20.4,1.3
os_unfair_lock,1000,16.0,0,42,20.3,1.3
os_unfair_lock,1000,16.2,0,84,20.6,1.3
os_unfair_lock,1000,16.0,0,42,20.3,1.3
os_unfair_lock,1000,16.0,0,83,20.4,1.3
os_unfair_lock,1000,15.8,0,42,20.2,1.3
os_unfair_lock,1000,15.9,0,83,20.3,1.3
os_unfair_lock,1000,15.8,0,42,20.2,1.3
os_unfair_lock,1000,16.0,0,84,20.6,1.3
os_unfair_lock,1000,16.1,0,83,20.5,1.3
os_unfair_lock,1000,16.0,0,83,20.4,1.3
os_unfair_lock,1000,15.8,0,83,20.3,1.3
os_unfair_lock,1000,15.9,0,42,20.2,1.3
os_unfair_lock,1000,16.0,0,83,20.5,1.3
os_unfair_lock,1000,15.8,0,42,20.2,1.3
os_unfair_lock,1000,16.0,0,83,20.4,1.3
os_unfair_lock,1000,21.6,0,5666,179.8,11.1
os_unfair_lock,1000,15.9,0,83,20.3,1.3
os_unfair_lock,1000,16.0,0,42,20.3,1.3
os_unfair_lock,1000,16.0,0,83,20.4,1.3
